,Total Return,Accuracy,Win Rate,Num Trades,Sharpe Ratio,Max Drawdown,Risk-Adj Return
Base,0.42140446235477724,0.48951911220715166,0.5051020408163265,392.0,0.5373416327444652,-0.4056725350381938,1.0387798678929603
Dynamic,0.5189863774279806,0.4784217016029593,0.4936708860759494,395.0,0.6099675242194188,-0.4382981979859496,1.1840942532111838
Strong,0.5456778047005728,0.49445129469790383,0.5186915887850467,214.0,0.7299046073612171,-0.23157127636148633,2.356414030593161
Combo,1.5691158812398305,0.5191122071516646,0.5192837465564738,726.0,0.9562505927423504,-0.35670400132785673,4.398929856123514
Momentum,0.3684546459880558,0.4747225647348952,0.47619047619047616,168.0,0.6255893539249533,-0.23246612325883662,1.5849821075985526
Kelly,0.06728517427829783,0.48951911220715166,0.5051020408163265,392.0,0.7616821645459789,-0.026648884556901706,2.5248776973996034
Confidence,0.13642259326221073,0.48951911220715166,0.5051020408163265,392.0,0.7616821645459789,-0.05273227717719361,2.5870794997871376
