Date,Actual_Return,Pred_Mean,Pred_Vol,Prob_Up,Signal_Base,Signal_Dynamic,Signal_Strong,Signal_Combo,Prob_Gradient,Signal_Momentum,Position_Size_Kelly,Position_Size_Conf,Actual_Dir,Strategy_Return_Base,Cum_Strategy_Base,Strategy_Return_Dynamic,Cum_Strategy_Dynamic,Strategy_Return_Strong,Cum_Strategy_Strong,Strategy_Return_Combo,Cum_Strategy_Combo,Strategy_Return_Momentum,Cum_Strategy_Momentum,Strategy_Return_Kelly,Cum_Strategy_Kelly,Strategy_Return_Confidence,Cum_Strategy_Confidence,Cum_Market,Prob_Centered,Signal_Final,Strategy_Return,Cum_Strategy
2023-09-07,0.01873210550195057,-0.00047418303706019436,0.02354158242105199,0.49479943758690303,0,1,0,0,,0,0.0,0.0,1,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0187321055019505,0.48844362763476623,1,,1.0
2023-09-08,-0.012831149860508746,-0.002125362332443524,0.024403986792038673,0.47670286518190463,0,1,0,0,-0.0180965724049984,0,0.0,0.0,0,-0.0,1.0,-0.012831149860508746,0.9871688501394913,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,1.0056606011885434,0.47034705522976783,1,-0.012831149860508746,0.9871688501394913
2023-09-09,-0.00038518556307899995,-0.00220077102161406,0.02519946457814694,0.4758772645641718,0,1,0,0,-0.0008256006177328468,0,0.0,0.0,0,-0.0,1.0,-0.00038518556307899995,0.9867886069500963,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,1.0052732352436082,0.469521454612035,1,-0.00038518556307899995,0.9867886069500963
2023-09-10,-0.0024532679048573473,-0.0020029583738612566,0.025935840574981564,0.47804319775988435,0,1,0,0,0.002165933195712566,0,0.0,0.0,0,-0.0,1.0,-0.0024532679048573473,0.9843677501317868,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,1.002807030679973,0.47168738780774755,1,-0.0024532679048573473,0.9843677501317868
2023-09-11,-0.026261881067480307,-0.004623256713794948,0.026619568905230907,0.4494295842778425,0,0,0,1,-0.028613613482041833,0,0.0,0.0,0,-0.0,1.0,-0.026261881067480307,0.9585164013511627,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,0.9764714317066225,0.4430737743257057,1,-0.026261881067480307,0.9585164013511627
2023-09-12,0.0263051279529175,0.0056690123195460174,0.027256055420935864,0.5619253792573831,1,1,1,1,0.11249579497954054,1,0.06192537925738306,0.12385075851476612,1,0.0,1.0,0.0,0.9585164013511627,0.0,1.0,0.0263051279529175,1.0263051279529174,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0021576376600336,0.5555695693052463,1,0.0263051279529175,0.983730297933675
2023-09-13,0.015173852958685846,0.005266209544051216,0.027849887438293464,0.5575571996279782,1,1,1,1,-0.004368179629404834,0,0.05755719962797823,0.11511439925595646,1,0.015173852958685846,1.0151738529586858,0.015173852958685846,0.9730607882837539,0.015173852958685846,1.0151738529586858,0.015173852958685846,1.04187813105522,0.015173852958685846,1.0151738529586858,0.0009396465992623851,1.0009396465992624,0.0018792931985247702,1.0018792931985248,1.017364230295311,0.5512013896758414,1,0.015173852958685846,0.9986572768255247
2023-09-14,0.011800835130971608,-0.0005042661960761131,0.0284050015893783,0.49446952358677465,0,1,0,0,-0.06308767604120358,0,0.0,0.0,1,0.011800835130971608,1.0271537522267244,0.011800835130971608,0.9845437182187037,0.011800835130971608,1.0271537522267244,0.011800835130971608,1.0541731631063676,0.0,1.0151738529586858,0.0006792230234101914,1.0016195078522767,0.0013584460468203828,1.0032402921637615,1.0293699778451737,0.48811371363463785,1,0.011800835130971608,1.0104422667016877
2023-09-15,0.0025972414093191217,-0.0014105025658564042,0.028924809143619595,0.4845338702323422,0,1,0,0,-0.009935653354432472,0,0.0,0.0,1,0.0,1.0271537522267244,0.0025972414093191217,0.9871008159329464,0.0,1.0271537522267244,0.0,1.0541731631063676,0.0,1.0151738529586858,-0.0,1.0016195078522767,-0.0,1.0032402921637615,1.032043500177143,0.4781780602802054,1,0.0025972414093191217,1.0130666291984916
2023-09-16,-0.0015199103541191222,-0.001423851761583304,0.029412291361884148,0.48438757099019647,0,1,0,0,-0.00014629924214570877,0,0.0,0.0,0,-0.0,1.0271537522267244,-0.0015199103541191222,0.9856005111822504,-0.0,1.0271537522267244,-0.0,1.0541731631063676,-0.0,1.0151738529586858,0.0,1.0016195078522767,0.0,1.0032402921637615,1.0304748865753224,0.47803176103805967,1,-0.0015199103541191222,1.0115268587393602
2023-09-17,-0.0012840741866492755,-0.0011603506496286732,0.029870073268995233,0.48727574993282896,0,1,0,0,0.002888178942632491,0,0.0,0.0,0,-0.0,1.0271537522267244,-0.0012840741866492755,0.9843349270074929,-0.0,1.0271537522267244,-0.0,1.0541731631063676,-0.0,1.0151738529586858,0.0,1.0016195078522767,0.0,1.0032402921637615,1.0291516803734806,0.48091993998069216,1,-0.0012840741866492755,1.0102279832109504
2023-09-18,0.008260511389751386,-0.001159290394650861,0.030300481581119462,0.4872873726092015,0,1,0,0,1.1622676372557983e-05,0,0.0,0.0,1,0.0,1.0271537522267244,0.008260511389751386,0.9924660368833684,0.0,1.0271537522267244,0.0,1.0541731631063676,0.0,1.0151738529586858,-0.0,1.0016195078522767,-0.0,1.0032402921637615,1.0376529995509876,0.4809315626570647,1,0.008260511389751386,1.01857298297251
